SEX,AGE,GEN,PRE,ARE,JOB,MAR,CHI,q1s1,q1s2,q1s3,q1s4,q1s5,q1s6,q1s7,q1s8,q1s9,q1s10,q1s11,q1s12,q2s1c1,q2s1c2,q2s1c3,q2s1c4,q2s1c5,q2s2c1,q2s2c2,q2s2c3,q2s2c4,q2s2c5,q2s3c1,q2s3c2,q2s3c3,q2s3c4,q2s3c5,q2s4c1,q2s4c2,q2s4c3,q2s4c4,q2s4c5,q2s5c1,q2s5c2,q2s5c3,q2s5c4,q2s5c5,q2s6c1,q2s6c2,q2s6c3,q2s6c4,q2s6c5,q2s7c1,q2s7c2,q2s7c3,q2s7c4,q2s7c5,q2s8c1,q2s8c2,q2s8c3,q2s8c4,q2s8c5,q2s9c1,q2s9c2,q2s9c3,q2s9c4,q2s9c5,q2s10c1,q2s10c2,q2s10c3,q2s10c4,q2s10c5,q2s11c1,q2s11c2,q2s11c3,q2s11c4,q2s11c5,q2s12c1,q2s12c2,q2s12c3,q2s12c4,q2s12c5,q2s13c1,q2s13c2,q2s13c3,q2s13c4,q2s13c5,q3,q4,q5,q6s1,q6s2,q6s3,q6s4,q6s5,q6s6,q6s7,q7s1,q7s2,q7s3,q7s4,q7s5,q7s6,q7s7,q7s8,q7s9,q8c1,q8c2,q8c3,q8c4,q8c5,q8c6
1,57,6,14,3,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,2,2,3,2,2,1,2,1,1,2,2,1,1,1,2,1,0,0,1,0,0,0
1,50,6,15,4,6,2,1,3,4,3,4,4,4,4,4,4,4,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,3,9,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0
2,44,5,27,5,8,2,1,4,4,4,4,4,3,4,4,4,3,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,1,1,3,2,3,3,2,3,3,2,2,2,3,3,3,3,3,2,1,0,0,0,0,0
2,45,5,28,5,5,2,2,4,4,4,3,4,4,4,4,4,4,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,5,5,5,4,4,5,5,5,5,4,4,5,5,5,4,4,1,0,0,0,0,0
2,53,6,23,4,8,2,1,4,4,3,4,4,4,4,4,4,3,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,9,3,2,3,2,2,2,3,1,1,1,2,1,2,1,1,1,0,0,1,0,0,0
2,55,6,11,3,11,2,1,3,4,3,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,3,2,5,1,3,2,1,3,1,1,1,2,2,2,2,4,3,2,0,1,0,1,0,0
1,47,5,11,3,5,1,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,3,1,5,5,5,5,5,2,5,2,2,1,2,2,2,2,2,2,0,0,0,0,1,0
2,44,5,12,3,9,1,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,8,9,3,2,2,3,2,3,1,1,1,1,1,3,2,3,3,3,1,1,1,0,1,0
2,55,6,27,5,3,1,2,4,4,4,4,3,1,4,4,4,4,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0
1,44,5,8,3,5,1,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,3,9,1,1,3,1,1,1,1,1,1,3,1,3,3,3,3,3,1,0,0,0,0,0
2,51,6,1,1,7,2,2,4,4,4,4,3,4,4,4,4,4,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,3,2,4,1,4,2,1,3,3,2,3,2,3,2,3,3,3,3,0,0,1,0,0,0
